sector,begin,end
1,2018-07-25 19:00:27,2018-08-22 16:14:51
2,2018-08-23 14:24:19,2018-09-20 00:19:52
3,2018-09-20 12:56:15,2018-10-17 21:17:58
4,2018-10-19 09:34:28,2018-11-14 08:21:39
5,2018-11-15 07:47:48,2018-12-11 21:35:39
6,2018-12-12 17:05:01,2019-01-06 13:01:37
7,2019-01-08 02:59:37,2019-02-01 14:01:30
8,2019-02-02 20:09:35,2019-02-27 11:57:34
9,2019-02-28 17:09:34,2019-03-25 23:21:33
10,2019-03-26 22:19:33,2019-04-22 04:17:32
11,2019-04-23 06:29:32,2019-05-20 09:21:31
12,2019-05-21 10:45:31,2019-06-18 09:21:30
13,2019-06-19 09:55:30,2019-07-17 20:31:29
14,2019-07-18 20:19:29,2019-08-14 16:51:28
15,2019-08-15 20:35:28,2019-09-10 21:47:27
16,2019-09-12 03:29:27,2019-10-06 19:37:26
17,2019-10-08 04:15:26,2019-11-02 04:37:25
18,2019-11-03 03:35:25,2019-11-27 12:41:24
19,2019-11-28 13:49:24,2019-12-23 15:31:23
20,2019-12-24 23:55:23,2020-01-20 07:41:22
21,2020-01-21 22:15:22,2020-02-18 06:41:21
22,2020-02-19 19:11:21,2020-03-17 23:47:20
23,2020-03-19 14:21:20,2020-04-15 08:57:19
24,2020-04-16 06:55:19,2020-05-12 18:41:18
25,2020-05-14 03:01:18,2020-06-08 19:17:17
26,2020-06-09 18:15:17,2020-07-04 15:11:16
27,2020-07-05 18:31:16,2020-07-30 03:21:15
28,2020-07-31 08:15:15,2020-08-25 14:17:14
29,2020-08-26 17:35:14,2020-09-21 22:21:13
30,2020-09-23 09:05:13,2020-10-20 17:17:12
31,2020-10-22 00:11:12,2020-11-16 10:37:11
32,2020-11-20 17:13:11,2020-12-16 17:31:10
33,2020-12-18 05:25:10,2021-01-13 01:41:09 
34,2021-01-14 05:51:09,2021-02-08 13:31:08
35,2021-02-09,2021-03-07
36,2021-03-07,2021-04-02
37,2021-04-02,2021-04-28
38,2021-04-28,2021-05-26
39,2021-05-26,2021-06-24
40,2021-06-24,2021-07-23
41,2021-07-23,2021-08-20
42,2021-08-20,2021-09-16
43,2021-09-16,2021-10-12
44,2021-10-12,2021-11-06
45,2021-11-06,2021-12-02
46,2021-12-02,2021-12-30
47,2021-12-30,2022-01-28
48,2022-01-28,2022-02-26
49,2022-02-26,2022-03-26
50,2022-03-26,2022-04-22
51,2022-04-22,2022-05-18
52,2022-05-18,2022-06-13
53,2022-06-13,2022-07-09
54,2022-07-09,2022-08-05
55,2022-08-05,2022-09-01
